InsCode,Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
68635710163497089,همراه,20101219,210.11219834023,210.11219834023,210.11219834023,210.11219834023,112590000
68635710163497089,همراه,20101220,217.44440922747,217.44440922747,217.44440922747,217.44440922747,274075
68635710163497089,همراه,20101221,223.75254486773,225.14176169869,220.81462407719,225.14176169869,28532764
68635710163497089,همراه,20101222,224.95289536215,226.2707626882,220.81462407719,222.91313892758,7198250
68635710163497089,همراه,20101225,222.09471813593,224.07991318439,221.24272110667,222.08212704683,2460574
68635710163497089,همراه,20101226,223.75254486773,224.37790229315,221.82191120538,221.86388150239,2142528
68635710163497089,همراه,20101227,222.07373298742,222.90054783848,217.66685180161,218.29640625673,2284484
68635710163497089,همراه,20101228,217.07926764351,218.71191219711,214.72893101107,217.25554289094,2640476
68635710163497089,همراه,20101229,215.62289833734,222.4892389278,215.62289833734,221.44417853231,2040910
68635710163497089,همراه,20110101,221.23432704727,222.87116863057,219.14420625629,219.97521813704,1300871
68635710163497089,همراه,20110102,219.7611696223,221.64563595795,218.91336962274,220.81882110689,1171093
68635710163497089,همراه,20110103,220.81462407719,225.59923793607,220.81462407719,225.01165377796,2642975
68635710163497089,همراه,20110104,225.85105971812,231.24424288361,225.85105971812,229.96414882487,3391433
68635710163497089,همراه,20110105,231.30719832912,237.65310723669,231.30719832912,232.56630723935,2893842
68635710163497089,همراه,20110108,232.56630723935,233.39731912011,231.09734684408,231.51704981416,2030510
68635710163497089,همراه,20110109,231.34077456673,235.45386367348,231.31559238852,233.40991020921,1192326
68635710163497089,همراه,20110110,233.84640129809,237.60274288028,230.06068050799,233.42669832801,4325751
68635710163497089,همراه,20110111,231.09734684408,236.12958545531,231.09734684408,235.50422802989,450750
68635710163497089,همراه,20110220,235.5126220893,248.0533468352,235.5126220893,242.21947555113,5966453
68635710163497089,همراه,20110222,242.6391785212,247.17197059804,242.30341614514,243.89828743144,1688907
68635710163497089,همراه,20110223,243.89828743144,246.83620822198,243.26873297632,246.83620822198,1318087
68635710163497089,همراه,20110226,246.20665376686,251.8726438629,246.20665376686,248.11630228071,1405103
68635710163497089,همراه,20110227,249.1487715871,251.44874386313,249.1487715871,249.6943854482,699515
68635710163497089,همراه,20110228,250.61353495267,250.61353495267,246.45008148951,247.08803000402,420132
68635710163497089,همراه,20110301,247.25591119205,247.25591119205,241.80396961075,243.94445475815,1936494
68635710163497089,همراه,20110302,243.90248446114,247.25591119205,243.89828743144,244.37674881732,21656689
68635710163497089,همراه,20110305,245.15319931197,246.62215970724,244.31799040151,244.40193099553,7353063
68635710163497089,همراه,20110306,245.03148545064,245.57709931175,244.31799040151,244.41032505493,335143
68635710163497089,همراه,20110307,244.31799040151,245.15739634167,244.02000129276,244.2340498075,615783
68635710163497089,همراه,20110308,244.94754485663,245.99680228182,244.36415772822,245.57709931175,1277853
68635710163497089,همراه,20110309,245.99680228182,250.10989138858,245.99680228182,248.09531713221,15824245
68635710163497089,همراه,20110312,248.51082307258,249.76993198282,248.01557356789,248.09531713221,4687462
68635710163497089,همراه,20110313,248.22962208263,251.8726438629,248.22962208263,250.19383198259,2475765
68635710163497089,همراه,20110314,251.03323792275,255.85142801923,249.01866366638,254.18101019833,36437626
68635710163497089,همراه,20110315,256.48937653375,258.56270920593,256.48937653375,258.56270920593,1924631
68635710163497089,همراه,20110316,264.88343593529,267.38906266665,264.88343593529,266.98195078568,1182676
68635710163497089,همراه,20110319,268.83703791342,273.15158444581,266.60421811261,269.08046563607,1739228
68635710163497089,همراه,20110326,271.17478345675,279.77869434333,269.30290821021,279.77869434333,423313
68635710163497089,همراه,20110327,285.87278146885,288.25669433889,278.31393097776,278.31393097776,1238816
68635710163497089,همراه,20110328,279.15333691792,281.66735770868,277.47452503761,280.21098840251,2469722
68635710163497089,همراه,20110329,281.67155473838,283.77006958877,273.27749533684,281.67155473838,1015917
68635710163497089,همراه,20110330,281.66735770868,281.66735770868,275.37601018722,275.38020721692,851203
68635710163497089,همراه,20110403,276.63511909746,277.04642800813,273.69719830692,273.69719830692,555333
68635710163497089,همراه,20110404,273.78113890093,283.77006958877,273.78113890093,282.46899038153,1615659
68635710163497089,همراه,20110405,285.36494087506,286.6660200823,281.89399731252,283.77006958877,1459095
68635710163497089,همراه,20110406,285.44888146907,290.06561413992,282.09965176786,284.60947552892,2593832
68635710163497089,همراه,20110409,287.96709928954,290.06141711022,273.69719830692,273.73916860392,1776100
68635710163497089,همراه,20110410,282.63267453986,282.63267453986,274.1672656334,275.7957131573,1037412
68635710163497089,همراه,20110411,275.75374286029,282.09125770846,275.75374286029,277.47452503761,648877
68635710163497089,همراه,20110412,277.47452503761,283.76587255907,276.63511909746,283.72809929176,1592438
68635710163497089,همراه,20110413,285.86858443915,289.64591116985,283.86240424218,283.86660127188,1373149
68635710163497089,همراه,20110416,285.562201271,287.96709928954,281.20568444159,281.67155473838,648374
68635710163497089,همراه,20110417,283.81203988577,285.86858443915,283.35036661869,285.029178499,1679104
68635710163497089,همراه,20110418,285.0375725584,285.86858443915,283.77006958877,283.77006958877,1129095
68635710163497089,همراه,20110419,285.44888146907,285.85599335005,279.74511810573,282.51515770824,578887
68635710163497089,همراه,20110420,285.0165874099,285.0165874099,282.01151414414,283.35036661869,761623
68635710163497089,همراه,20110423,283.77006958877,286.70799037931,282.93066364861,284.31568344987,1502854
68635710163497089,همراه,20110424,285.0417695881,285.86438740945,282.94325473771,284.60947552892,2735121
68635710163497089,همراه,20110502,276.72662666326,279.2769601198,268.43108747463,272.12675250165,12250362
68635710163497089,همراه,20110503,272.08965674228,272.08965674228,262.84817568977,268.3800808055,4647241
68635710163497089,همراه,20110504,267.4526868213,272.12675250165,267.4526868213,271.53322035176,17828724
68635710163497089,همراه,20110508,269.07562629364,269.07562629364,260.49723193983,261.61010472087,1352896
68635710163497089,همراه,20110509,263.83585028294,269.77117178179,263.83585028294,267.4526868213,285829
68635710163497089,همراه,20110510,271.15762578816,271.15762578816,262.81571690032,263.81266543333,367966
68635710163497089,همراه,20110511,267.39704318225,267.39704318225,262.58386840427,262.86672356945,983211
68635710163497089,همراه,20110514,262.81571690032,263.27941389242,261.42926289395,262.81571690032,257582
68635710163497089,همراه,20110515,262.82035387024,263.22377025337,260.50186890975,260.50186890975,526219
68635710163497089,همراه,20110516,260.50186890975,261.2855168264,252.43817821717,256.83866267218,1859847
68635710163497089,همراه,20110517,252.60974610425,259.56983795564,252.49845882615,258.28076031761,394295
68635710163497089,همراه,20110518,260.03353494774,265.12956489089,260.03353494774,261.98106231455,322804
68635710163497089,همراه,20110521,262.81571690032,263.27941389242,258.68881367065,260.96092893193,306090
68635710163497089,همراه,20110522,262.12017141218,262.12017141218,258.17874697935,260.49723193983,752651
